Date,Team,Acquired,Relinquished,Notes,player_id,player_name_temp
2010-01-01,Knicks,, Jonathan Bender,placed on IL with sore left leg,1886.0,Jonathan Bender
2010-01-01,Knicks, Marcus Landry,,activated from IL,202068.0,Marcus Landry
2010-01-02,Celtics,, Kevin Garnett,placed on IL with hyperextended right knee,708.0,Kevin Garnett
2010-01-02,Celtics, Glen Davis,,activated from IL,201175.0,Glen Davis
2010-01-02,Nets,, Sean Williams,placed on IL,201157.0,Sean Williams
2010-01-02,Nets, Josh Boone,,activated from IL,200767.0,Josh Boone
2010-01-02,Wizards,, Mike James (Lamont),placed on IL,1628455.0,Mike James (Lamont)
2010-01-02,Wizards, JaVale McGee,,activated from IL,201580.0,JaVale McGee
2010-01-04,Blazers,, Joel Przybilla,placed on IL recovering from surgery on right knee to repair ruptured patella tendon,2038.0,Joel Przybilla
2010-01-04,Clippers,, Brian Skinner,placed on IL,1730.0,Brian Skinner
2010-01-04,Clippers, Steve Novak,,activated from IL,200779.0,Steve Novak
2010-01-04,Heat,, Jermaine O'Neal,placed on IL with strained groin,979.0,Jermaine O'Neal
2010-01-04,Heat, Yakhouba Diawara,,activated from IL,200821.0,Yakhouba Diawara
2010-01-04,Blazers, Patrick Mills / Patty Mills,,activated from IL,201988.0,Patrick Mills / Patty Mills
2010-01-05,76ers,, Royal Ivey,placed on IL,2767.0,Royal Ivey
2010-01-05,76ers, Willie Green,,activated from IL,2584.0,Willie Green
2010-01-05,Knicks,, Eddy Curry,placed on IL,2201.0,Eddy Curry
2010-01-05,Knicks, Jonathan Bender,,activated from IL,1886.0,Jonathan Bender
2010-01-05,Mavericks,, Erick Dampier,placed on IL with left knee effusion,956.0,Erick Dampier
2010-01-05,Mavericks, James Singleton,,activated from IL,101189.0,James Singleton
2010-01-05,Nets,, Josh Boone,placed on IL with sore left knee,200767.0,Josh Boone
2010-01-05,Nets, Eduardo Najera,,activated from IL,2059.0,Eduardo Najera
2010-01-05,Nets, Jarvis Hayes,,activated from IL,2553.0,Jarvis Hayes
2010-01-05,Pacers,, Tyler Hansbrough,placed on IL with ear infection,201946.0,Tyler Hansbrough
2010-01-05,Pacers, Travis Diener,,activated from IL,101143.0,Travis Diener
